iter	Passed	Remaining
450	3831	4663
451	3839	4655
452	3848	4646
453	3856	4637
454	3864	4628
455	3872	4619
456	3880	4610
457	3888	4602
458	3896	4592
459	3904	4583
460	3912	4574
461	3920	4565
462	3928	4556
463	3937	4547
464	3945	4538
465	3953	4530
466	3961	4521
467	3970	4512
468	3978	4504
469	3987	4496
470	3995	4487
471	4003	4478
472	4011	4469
473	4020	4461
474	4028	4452
475	4036	4443
476	4043	4433
477	4051	4424
478	4060	4416
479	4069	4408
480	4077	4399
481	4086	4391
482	4093	4382
483	4102	4373
484	4110	4365
485	4119	4356
486	4127	4347
487	4135	4338
488	4143	4330
489	4151	4320
490	4159	4311
491	4167	4303
492	4176	4294
493	4184	4286
494	4193	4277
495	4202	4269
496	4211	4261
497	4220	4254
498	4228	4245
499	4237	4237
500	4245	4228
501	4253	4219
502	4261	4210
503	4270	4202
504	4278	4193
505	4286	4185
506	4294	4176
507	4303	4167
508	4311	4159
509	4319	4150
510	4327	4141
511	4336	4132
512	4343	4123
513	4351	4114
514	4359	4105
515	4368	4097
516	4375	4088
517	4384	4079
518	4392	4070
519	4400	4061
520	4408	4052
521	4416	4044
522	4424	4035
523	4433	4027
524	4440	4018
525	4449	4009
526	4457	4000
527	4466	3992
528	4474	3983
529	4482	3975
530	4490	3966
531	4498	3957
532	4507	3949
533	4516	3941
534	4523	3931
535	4532	3923
536	4540	3915
537	4549	3906
538	4557	3898
539	4565	3889
540	4574	3881
541	4581	3871
542	4589	3862
543	4597	3854
544	4606	3845
545	4614	3837
546	4623	3828
547	4630	3819
548	4639	3811
549	4647	3802
550	4655	3794
551	4664	3785
552	4671	3776
553	4680	3767
554	4688	3759
555	4696	3750
556	4704	3742
557	4713	3733
558	4722	3725
559	4731	3717
560	4740	3709
561	4749	3701
562	4757	3692
563	4765	3684
564	4773	3675
565	4782	3666
566	4790	3657
567	4798	3649
568	4806	3641
569	4815	3632
570	4823	3623
571	4829	3613
572	4838	3605
573	4846	3596
574	4854	3588
575	4862	3579
576	4870	3570
577	4879	3562
578	4887	3553
579	4895	3544
580	4903	3536
581	4912	3527
582	4920	3519
583	4928	3510
584	4936	3502
585	4944	3493
586	4952	3484
587	4961	3476
588	4969	3467
589	4977	3459
590	4985	3450
591	4994	3441
592	5002	3433
593	5010	3424
594	5018	3416
595	5026	3407
596	5035	3399
597	5043	3390
598	5051	3381
599	5059	3372
600	5067	3364
601	5076	3356
602	5085	3347
603	5093	3339
604	5102	3331
605	5111	3323
606	5119	3314
607	5127	3305
608	5135	3297
609	5143	3288
610	5152	3280
611	5160	3271
612	5169	3263
613	5177	3254
614	5185	3246
615	5193	3237
616	5202	3229
617	5211	3221
618	5220	3213
619	5230	3205
620	5239	3197
621	5248	3189
622	5257	3181
623	5265	3172
624	5273	3164
625	5282	3155
626	5289	3146
627	5298	3138
628	5306	3130
629	5315	3121
630	5323	3113
631	5332	3104
632	5340	3096
633	5347	3087
634	5356	3078
635	5364	3070
636	5373	3061
637	5381	3053
638	5389	3044
639	5397	3036
640	5405	3027
641	5413	3018
642	5421	3009
643	5429	3001
644	5437	2992
645	5446	2984
646	5454	2975
647	5462	2967
648	5471	2959
649	5479	2950
650	5486	2941
651	5494	2932
652	5502	2923
653	5510	2915
654	5518	2906
655	5527	2898
656	5535	2889
657	5543	2881
658	5551	2872
659	5558	2863
660	5567	2855
661	5575	2846
662	5583	2838
663	5592	2830
664	5601	2821
665	5611	2814
666	5619	2805
667	5627	2796
668	5643	2792
669	5652	2784
670	5661	2775
671	5669	2767
672	5677	2758
673	5686	2750
674	5694	2741
675	5702	2733
676	5710	2724
677	5718	2715
678	5726	2707
679	5735	2698
680	5743	2690
681	5751	2682
682	5759	2673
683	5767	2664
684	5776	2656
685	5784	2647
686	5792	2639
687	5801	2630
688	5809	2622
689	5817	2613
690	5823	2604
691	5831	2595
692	5840	2587
693	5848	2578
694	5856	2570
695	5864	2561
696	5873	2553
697	5881	2544
698	5889	2536
699	5897	2527
700	5906	2519
701	5914	2510
702	5923	2502
703	5931	2493
704	5939	2485
705	5947	2476
706	5956	2468
707	5964	2460
708	5973	2451
709	5981	2443
710	5989	2434
711	5997	2426
712	6005	2417
713	6014	2409
714	6022	2400
715	6030	2392
716	6039	2383
717	6047	2375
718	6055	2366
719	6063	2358
720	6072	2349
721	6080	2341
722	6088	2332
723	6097	2324
724	6105	2315
725	6114	2307
726	6122	2299
727	6130	2290
728	6139	2282
729	6147	2273
730	6155	2265
731	6163	2256
732	6172	2248
733	6180	2239
734	6188	2231
735	6196	2222
736	6205	2214
737	6213	2205
738	6222	2197
739	6230	2189
740	6238	2180
741	6247	2172
742	6255	2163
743	6263	2155
744	6271	2146
745	6280	2138
746	6288	2129
747	6297	2121
748	6305	2113
749	6313	2104
750	6322	2096
751	6330	2087
752	6339	2079
753	6348	2071
754	6357	2062
755	6364	2054
756	6374	2046
757	6382	2037
758	6391	2029
759	6400	2021
760	6408	2012
761	6416	2004
762	6424	1995
763	6431	1986
764	6439	1978
765	6447	1969
766	6456	1961
767	6463	1952
768	6472	1944
769	6480	1935
770	6488	1927
771	6497	1918
772	6505	1910
773	6513	1901
774	6522	1893
775	6530	1885
776	6539	1876
777	6547	1868
778	6555	1859
779	6564	1851
780	6571	1842
781	6580	1834
782	6588	1826
783	6597	1817
784	6605	1809
785	6613	1800
786	6621	1792
787	6630	1783
788	6638	1775
789	6646	1766
790	6655	1758
791	6662	1749
792	6670	1741
793	6679	1732
794	6687	1724
795	6696	1716
796	6704	1707
797	6712	1699
798	6721	1690
799	6729	1682
800	6737	1673
801	6746	1665
802	6755	1657
803	6763	1648
804	6770	1639
805	6778	1631
806	6786	1623
807	6794	1614
808	6802	1606
809	6811	1597
810	6819	1589
811	6827	1580
812	6836	1572
813	6844	1563
814	6852	1555
815	6860	1546
816	6868	1538
817	6876	1529
818	6883	1521
819	6891	1512
820	6898	1504
821	6907	1495
822	6915	1487
823	6922	1478
824	6930	1470
825	6938	1461
826	6947	1453
827	6955	1444
828	6964	1436
829	6972	1428
830	6980	1419
831	6988	1411
832	6997	1402
833	7004	1394
834	7012	1385
835	7021	1377
836	7029	1368
837	7037	1360
838	7045	1352
839	7053	1343
840	7062	1335
841	7070	1326
842	7078	1318
843	7087	1309
844	7095	1301
845	7103	1293
846	7112	1284
847	7120	1276
848	7128	1267
849	7137	1259
850	7146	1251
851	7154	1242
852	7164	1234
853	7172	1226
854	7182	1218
855	7191	1209
856	7200	1201
857	7209	1193
858	7218	1184
859	7226	1176
860	7234	1168
861	7243	1159
862	7252	1151
863	7260	1142
864	7268	1134
865	7275	1125
866	7284	1117
867	7292	1109
868	7301	1100
869	7309	1092
870	7318	1083
871	7326	1075
872	7334	1067
873	7343	1058
874	7351	1050
875	7359	1041
876	7366	1033
877	7374	1024
878	7382	1016
879	7391	1007
880	7399	999
881	7407	991
882	7415	982
883	7424	974
884	7432	965
885	7440	957
886	7448	948
887	7456	940
888	7465	932
889	7473	923
890	7481	915
891	7490	906
892	7498	898
893	7506	890
894	7515	881
895	7524	873
896	7532	864
897	7541	856
898	7549	848
899	7557	839
900	7566	831
901	7575	823
902	7584	814
903	7592	806
904	7600	797
905	7608	789
906	7616	780
907	7624	772
908	7632	764
909	7641	755
910	7651	747
911	7661	739
912	7671	730
913	7679	722
914	7687	714
915	7696	705
916	7704	697
917	7713	688
918	7721	680
919	7730	672
920	7739	663
921	7747	655
922	7755	647
923	7764	638
924	7772	630
925	7780	621
926	7789	613
927	7797	604
928	7805	596
929	7813	588
930	7822	579
931	7830	571
932	7838	562
933	7847	554
934	7856	546
935	7864	537
936	7871	529
937	7880	520
938	7888	512
939	7897	504
940	7905	495
941	7913	487
942	7922	478
943	7930	470
944	7938	462
945	7947	453
946	7953	445
947	7962	436
948	7970	428
949	7978	419
950	7987	411
951	7995	403
952	8004	394
953	8012	386
954	8020	377
955	8028	369
956	8037	361
957	8045	352
958	8054	344
959	8062	335
960	8070	327
961	8078	319
962	8087	310
963	8095	302
964	8103	293
965	8111	285
966	8121	277
967	8130	268
968	8140	260
969	8149	252
970	8159	243
971	8168	235
972	8176	226
973	8185	218
974	8194	210
975	8203	201
976	8212	193
977	8221	184
978	8229	176
979	8237	168
980	8244	159
981	8253	151
982	8261	142
983	8270	134
984	8279	126
985	8285	117
986	8294	109
987	8302	100
988	8310	92
989	8318	84
990	8326	75
991	8334	67
992	8342	58
993	8349	50
994	8358	42
995	8366	33
996	8374	25
997	8382	16
998	8391	8
999	8399	0
